id,driver_id,year
1,4,1950
2,1,1951
3,5,1952
4,5,1953
5,1,1954
6,1,1955
7,1,1956
8,1,1957
9,110,1958
10,220,1959
11,220,1960
12,270,1961
13,269,1962
14,307,1963
15,319,1964
16,307,1965
17,220,1966
18,392,1967
19,269,1968
20,390,1969
21,388,1970
22,390,1971
23,442,1972
24,390,1973
25,442,1974
26,454,1975
27,470,1976
28,454,1977
29,428,1978
30,468,1979
31,502,1980
32,543,1981
33,542,1982
34,543,1983
35,454,1984
36,555,1985
37,555,1986
38,543,1987
39,587,1988
40,555,1989
41,587,1990
42,587,1991
43,558,1992
44,555,1993
45,629,1994
46,629,1995
47,641,1996
48,669,1997
49,633,1998
50,633,1999
51,629,2000
52,629,2001
53,629,2002
54,629,2003
55,629,2004
56,690,2005
57,690,2006
58,689,2007
59,722,2008
60,685,2009
61,725,2010
62,725,2011
63,725,2012
64,725,2013
65,722,2014
66,722,2015
67,715,2016
68,722,2017
69,722,2018
70,722,2019
71,722,2020
72,756,2021
